"country","year","inadequate_housing"
"Portugal","2022",5
"Portugal","2023",4.9
"Portugal","2024",6.9
"Republic of Moldova","2020",11.7
"Romania","2007",19.7
"Romania","2008",19
"Romania","2009",15.3
"Romania","2010",15.8
"Romania","2011",10.5
"Romania","2012",18.4
"Romania","2013",16.9
"Romania","2014",16.2
"Romania","2015",15.9
"Romania","2016",14.4
"Romania","2017",12.3
"Romania","2018",10.3
"Romania","2019",8.6
"Romania","2020",7.1
"Romania","2021",7.5
"Romania","2022",8.5
"Romania","2023",9.1
"Romania","2024",4.7
"Serbia","2013",28
"Serbia","2014",31.7
"Serbia","2015",33.7
"Serbia","2016",31
"Serbia","2017",33.6
"Serbia","2018",31.3
"Serbia","2019",21.6
"Serbia","2020",17.8
"Serbia","2021",15.1
"Serbia","2022",13.1
"Serbia","2023",15.4
"Slovakia","2005",14.6
"Slovakia","2006",16.4
"Slovakia","2007",17.8
"Slovakia","2008",5.6
"Slovakia","2009",9.4
"Slovakia","2010",7.6
"Slovakia","2011",8.4
"Slovakia","2012",8.4
"Slovakia","2013",8.3
"Slovakia","2014",9
"Slovakia","2015",9.1
"Slovakia","2016",7.7
"Slovakia","2017",8.4
"Slovakia","2018",4.1
"Slovakia","2019",5.7
"Slovakia","2020",3.2
"Slovakia","2021",7.1
"Slovakia","2022",2.5
"Slovakia","2023",5.9
"Slovakia","2024",6.4
"Slovenia","2005",4.7
"Slovenia","2006",3
"Slovenia","2007",5
"Slovenia","2008",4.4
"Slovenia","2009",3.9
"Slovenia","2010",4.3
"Slovenia","2011",4.7
"Slovenia","2012",5.2
"Slovenia","2013",6
"Slovenia","2014",6.4
"Slovenia","2015",6.1
"Slovenia","2016",5.7
"Slovenia","2017",5.2
"Slovenia","2018",4.9
"Slovenia","2019",4.1
"Slovenia","2020",4.4
"Slovenia","2021",4.1
"Slovenia","2022",4.1
"Slovenia","2023",3.7
"Slovenia","2024",3.8
"Spain","2004",4.9
"Spain","2005",5.3
"Spain","2006",7.4
"Spain","2007",8.3
"Spain","2008",9.4
"Spain","2009",10.4
"Spain","2010",9.7
"Spain","2011",10
"Spain","2012",10.7
"Spain","2013",10.3
"Spain","2014",10.9
"Spain","2015",10.3
"Spain","2016",10.1
"Spain","2017",9.8
"Spain","2018",8.9
"Spain","2019",8.6
"Spain","2020",8.2
"Spain","2021",9.9
"Spain","2022",9.2
"Spain","2023",8.2
"Spain","2024",7.8
"Sweden","2004",9.2
"Sweden","2005",9.2
"Sweden","2006",9.6
"Sweden","2007",7.9
"Sweden","2008",10
"Sweden","2009",10.7
"Sweden","2010",7.9
"Sweden","2011",9.4
"Sweden","2012",8.7
"Sweden","2013",9
"Sweden","2014",8.6
"Sweden","2015",8.7
"Sweden","2016",8.5
"Sweden","2017",8.4
"Sweden","2018",8.3
"Sweden","2019",9.5
"Sweden","2020",8.2
"Sweden","2021",8.5
"Sweden","2022",9.1
"Sweden","2023",10.9
"Sweden","2024",10.6
"Switzerland","2009",13.3
"Switzerland","2010",14.3
"Switzerland","2011",13.4
"Switzerland","2012",12.2
"Switzerland","2013",10.9
"Switzerland","2014",11.9
"Switzerland","2015",11.9
"Switzerland","2016",12.3
"Switzerland","2017",13
"Switzerland","2018",13.4
"Switzerland","2019",14.5
"Switzerland","2020",14
"Switzerland","2021",15.1
"Switzerland","2023",14.2
"Thailand","2019",0.4
"Türkiye","2006",13.7
"Türkiye","2007",9.1
"Türkiye","2008",10.4
"Türkiye","2009",11.2
"Türkiye","2010",19.4
"Türkiye","2011",17.9
"Türkiye","2012",17.9
"Türkiye","2013",16.4
"Türkiye","2014",14.8
"Türkiye","2015",16.7
"Türkiye","2016",15.5
"Türkiye","2017",14.8
"Türkiye","2018",13.4
"Türkiye","2019",13.6
"Türkiye","2020",10.3
"Türkiye","2021",11.5
"Türkiye","2022",10.8
"Türkiye","2023",14.4
"Türkiye","2024",14.8
"United Kingdom of Great Britain and Northern Ireland","2005",14.7
"United Kingdom of Great Britain and Northern Ireland","2006",16.4
"United Kingdom of Great Britain and Northern Ireland","2007",16.3
"United Kingdom of Great Britain and Northern Ireland","2008",16.8
"United Kingdom of Great Britain and Northern Ireland","2009",16.1
"United Kingdom of Great Britain and Northern Ireland","2010",17
"United Kingdom of Great Britain and Northern Ireland","2011",16.4
"United Kingdom of Great Britain and Northern Ireland","2012",7.3
"United Kingdom of Great Britain and Northern Ireland","2013",7.9
"United Kingdom of Great Britain and Northern Ireland","2014",12.5
"United Kingdom of Great Britain and Northern Ireland","2015",12.4
"United Kingdom of Great Britain and Northern Ireland","2016",12.3
"United Kingdom of Great Britain and Northern Ireland","2017",12.4
"United Kingdom of Great Britain and Northern Ireland","2018",15.1
